value,n,pct
power_pole,19147789,12.805264094228308
power_tower,18198292,12.1702790397305
crossing,12673961,8.47583069381796
fence,9090867,6.079602860701307
bridge,7242261,4.843330200908836
parking,6553464,4.382690724867389
gate,6431143,4.300887404950395
generator,6080443,4.066353479501046
street_lamp,5967384,3.990744209249042
wall,5916072,3.956428826350105
parking_space,4629769,3.0962015896598456
hedge,4148049,2.774046806176924
bus_stop,4049922,2.708423451450468
bench,3162602,2.1150198508524736
kerb,2703570,1.8080378808870738
fire_hydrant,2432192,1.6265512894397018
stop,2319736,1.5513452811125503
traffic_signals,1960505,1.3111061691276766
give_way,1540284,1.0300794206638872
minor_line,1463851,0.9789641326003856
information,1416979,0.9476180414864366
stop_position,1350559,0.9031990414056104
waste_basket,1135891,0.7596377961579317
power_line,1133741,0.7581999634242104
bollard,950370,0.6355688814636382
bicycle_parking,876638,0.5862599125693371
substation,831676,0.5561911519304616
storage_tank,825065,0.551769983464121
pier,724820,0.4847301963050962
retaining_wall,682942,0.4567238896898472
cutline,607290,0.40613090272636226
lift_gate,562520,0.37619054389440515
recycling,551402,0.36875527676253783
platform,522697,0.34955853786882934
toilets,500181,0.3345007509700054
catenary_mast,420840,0.281440710539219
post_box,404161,0.27028647232259595
pipeline,355471,0.23772457659938864
silo,351653,0.2351712531680638
barrier,351170,0.23484824237253477
drinking_water,347247,0.23222469920305147
artwork,344088,0.2301120882235975
vending_machine,341238,0.22820612390215284
waste_disposal,298089,0.19934982407548058
communication_tower,295205,0.19742112193406078
taxiway,288403,0.19287222042021285
utility_pole,284238,0.19008683747325947
portal,276440,0.18487185158602246
parking_entrance,263814,0.17642809526231706
dam,263391,0.17614521003145
viewpoint,254196,0.16999596724699959
drain,245633,0.16426938041032216
transformer,244335,0.16340133069480103
mobile_phone_tower,238517,0.1595104884414098
motorway_junction,235890,0.15775365746862552
atm,235782,0.15768143145223393
milestone,228450,0.1527780874505384
guard_rail,210822,0.14098919655284484
block,203398,0.13602432668533423
fountain,194270,0.12991989078142305
charging_station,183531,0.12273808346633733
water_tower,163632,0.10943043994618734
cable,162966,0.10898504617843922
lighting,154288,0.10318155200949296
switch,149756,0.10015073435869042
weir,147885,0.09889948550064727
cycle_barrier,147794,0.09883862839424325
pylon,140354,0.09386305837615612
plant,132389,0.08853638966727655
swing_gate,124402,0.08319500825135423
viaduct,104043,0.06957973540212897
stile,101513,0.06788777409221494
entrance,100928,0.06749654983676051
camp_site,99949,0.066841834373359
cattle_grid,89136,0.05961053886185682
bicycle_rental,87968,0.05882942786977002
railway_station,85442,0.05714014159750011
ditch,83001,0.05550769987516803
terminal,75400,0.05042445959190455
manhole,69381,0.046399196696895614
helipad,68882,0.046065485750790044
sewer,68496,0.04580734461813122
runway,65952,0.044106020676462715
bus_station,65670,0.04391743052255135
breakwater,62597,0.041862332852446275
toll_booth,62461,0.04177138157254576
street_cabinet,62064,0.041505884086365574
reservoir_covered,61810,0.041336019195963136
city_wall,56653,0.037887226913264835
boardwalk,52855,0.03534727867016068
bell_tower,50468,0.03375094995602439
apron,48185,0.032224172220635554
kissing_gate,48007,0.03210513304547164
insulator,47919,0.032046282217300714
chain,45241,0.03025534451455376
motorcycle_parking,44339,0.029652123525801804
bridge_support,43816,0.02930236235383143
jersey_barrier,39811,0.026623980912643397
ferry_terminal,38436,0.025704436722472725
airport,37995,0.025409513822207075
aerialway_station,35939,0.02403454447312278
heliostat,35033,0.023428648446726687
railway_halt,34525,0.02308891866592181
height_restrictor,26457,0.017693367737705818
defensive,23851,0.015950580712553255
observation,23466,0.015693108339305466
airport_gate,21041,0.014071366767549916
gasometer,19763,0.013216692240249463
taxilane,19685,0.013164529006188874
subway_station,17996,0.01203499436095377
aqueduct,16969,0.011348178445822655
handrail,15471,0.010346376848094899
communication_line,15290,0.010225331394697886
connection,11937,0.007982981089503509
roller_coaster,10014,0.006696956742086633
border_control,9234,0.006175324401480724
chair_lift,9017,0.006030203609286516
minaret,8823,0.005900464283546072
hampshire_gate,8716,0.005828907026565518
planter,8190,0.0054771395763620456
quay,7847,0.005247755098377653
watchtower,7450,0.004982257612197466
movable,7154,0.004784304826531634
sally_port,6132,0.004100832708455686
siren,5831,0.0038995361257346873
airstrip,5339,0.003570506495506345
cable_distribution,5250,0.0035109869079243887
cantilever,4837,0.0032347892711676695
covered,4703,0.0031451755100892187
platter,4502,0.003010754868471542
cooling,4020,0.0026884128323535314
drag_lift,4010,0.0026817252382431993
radar,3967,0.0026529685835687713
full-height_turnstile,3755,0.0025111915884297293
stopway,3631,0.00242826542146161
magic_carpet,3303,0.0022089123346427154
communication_pole,3043,0.002035034887774079
t-bar,2906,0.0019434148484625282
goods,2767,0.001850457290328911
zip_line,2644,0.0017681998827718253
cable_barrier,2551,0.001706005257545736
bump_gate,2406,0.0016090351429459196
lightning_protection,2342,0.001566234540639794
monitoring,2175,0.0014545517189972466
military_airport,2062,0.0013789819055504931
gondola,1971,0.0013181247991464705
rope_tow,1816,0.0012144670904363217
diving,1616,0.0010807152082296784
municipal_airport,1403,0.0009382694536796031
trestle,1348,0.0009014876860727763
international_airport,1309,0.000875406069042481
private_airport,1259,0.00084196809849082
cable_car,1123,0.0007510168185903025
regional_airport,1044,0.0006981848251186784
pedestrian_crossing,938,0.0006272963275491573
heliport,826,0.0005523952735134371
seaplane_airport,802,0.0005363450476486399
bus_trap,798,0.0005336700100045071
hose,797,0.0005330012505934738
j-bar,215,0.0001437832733721416
mixed_lift,108,7.222601639158741e-05
launchpad,76,5.082571523852448e-05
picnic_table,30,2.0062782330996506e-05
