value,n,pct
power,48418057,32.38003128269272
barrier,32840870,21.962640879018437
transportation,25171805,16.833881486442984
transit,18621239,12.453128826348768
bridge,7477986,5.0009735130746416
pedestrian,6660195,4.454068085566376
emergency,2432192,1.6265512894397018
utility,2061632,1.378735802087233
waste_management,1985382,1.3277428969959502
water,1015390,0.6790516183690181
pier,724820,0.4847301963050962
airport,567894,0.37978445696929763
communication,552055,0.3691919766579425
manhole,383510,0.256475921725349
tower,289094,0.19333433317323678
aerialway,210675,0.14089088891942295
recreation,109963,0.07353879111544562
quay,7847,0.005247755098377653
