value,n,pct
tree,32660527,44.72979061303928
wood,12179534,16.680318893335453
forest,5941385,8.136944850934352
scrub,5425824,7.430865136475086
wetland,4465696,6.115934596569341
grassland,2258718,3.093397212907889
tree_row,1995113,2.7323804891253785
bare_rock,1254134,1.7175825491331909
peak,1089875,1.492623819094719
cliff,974891,1.3351490103186785
land,850655,1.1650032479247787
heath,645285,0.8837414943039668
islet,573934,0.7860236806866002
scree,374150,0.5124121591139251
shrub,282592,0.3870201172479549
rock,245815,0.33665266575595215
ridge,244539,0.33490513691717255
beach,240243,0.3290216072217204
sand,223644,0.30628866741380373
grass,187147,0.2563046861999031
reef,116875,0.16006460268993716
glacier,115256,0.15784732276048255
island,91703,0.1255906246885588
stone,84321,0.11548070471373854
shrubbery,84181,0.11528896957468751
shingle,81600,0.11175419533261068
saddle,78090,0.10694712148925942
cave_entrance,70817,0.09698648101555749
hill,62734,0.08591651580877449
valley,61589,0.08434839627867842
fell,28012,0.038363462250699636
mountain_range,7508,0.01028248159996619
volcano,5847,0.00800768112879626
dune,3603,0.004934440757149464
peninsula,3418,0.00468107646626058
archipelago,2487,0.0034060377915711123
tundra,1947,0.0026664879695170707
volcanic_caldera_rim,1832,0.00250899124815371
desert,860,0.0011778015684564362
meadow,523,0.000716267698026414
plateau,357,0.0004889246045801717
meteor_crater,132,0.00018077884539098788
