value,n,pct
,72827933,99.74052757539563
grass,125210,0.17147969114701206
sand,47116,0.06452709151092262
gravel,5532,0.0075762770659314
pebblestone,4970,0.006806597436312194
recreation_sand,1551,0.0021241514333441075
recreation_grass,1107,0.0015160771352107846
ground,780,0.0010682386318558374
dirt,663,0.0009080028370774618
fine_gravel,455,0.0006231392019159052
cobblestone,434,0.000594378931058248
unpaved,356,0.0004875550678726643
concrete,313,0.0004286649894498424
asphalt,292,0.0003999047185921853
wood,138,0.00018899606563603277
paving_stones,122,0.00016708347831591305
earth,116,0.00015886625807086814
paved,108,0.00014790996441080826
woodchips,62,8.491127586546399e-05
tartan,47,6.436822525285174e-05
compacted,45,6.162915183783678e-05
sett,29,3.9716564517717034e-05
recreation_paved,12,1.6434440490089807e-05
concrete_plates,2,2.739073415014968e-06
