value,n,pct
farmland,11301237,20.866511686690938
residential,10381885,19.169027663288663
grass,6750567,12.464191769209885
meadow,5345984,9.870781190843337
pitch,2605896,4.811505089071327
orchard,1800699,3.324795925234794
farmyard,1558499,2.8775998235587967
garden,1472517,2.7188433610719853
industrial,1370622,2.5307052653648188
park,1227936,2.2672510004443343
vineyard,845644,1.5613901742596916
school,784376,1.4482654395054182
playground,762842,1.4085052377981888
bunker,692591,1.2787943652183353
tee,630857,1.164809211870416
cemetery,566744,1.0464314923545068
commercial,564641,1.0425485303321096
allotments,456262,0.8424384299871759
retail,395060,0.7294355570938051
green,321935,0.5944181543891919
pedestrian,319324,0.5895972253162107
fairway,306005,0.5650051325076946
construction,258277,0.47688054315677797
quarry,220635,0.40737866182198074
nordic,171792,0.3171953455785424
recreation_ground,171339,0.31635893007871074
track,153962,0.284274179216515
brownfield,152483,0.28154336569719707
religious,149251,0.2755758272966322
kindergarten,140883,0.26012522044764474
flowerbed,137802,0.2544364872136904
grave_yard,122226,0.22567708804067085
downhill,116029,0.21423499785864705
greenhouse_horticulture,113015,0.2086699728774272
aquaculture,99093,0.18296450579430068
railway,94956,0.1753259827859043
garages,93636,0.1728887455678518
village_green,93464,0.17257116617277224
plaza,93116,0.17192862181528568
nature_reserve,92961,0.1716424310813477
greenfield,89529,0.16530561431441118
hospital,82962,0.15318035915459996
military,76984,0.14214262878375308
logging,75801,0.13995834724666512
rough,70553,0.13026848291307455
plant_nursery,69767,0.1288172189332342
landfill,56879,0.10502092100424883
camp_site,55052,0.10164756312744433
water_hazard,52043,0.09609177010538374
works,47738,0.08814305326923523
stadium,43930,0.08111199317352012
golf_course,37827,0.069843463823691
college,34015,0.06280501816064846
university,32828,0.06061335105623306
static_caravan,29593,0.054640273480172565
highway,28778,0.05313546413720833
species_management_area,27272,0.05035479803843024
dog_park,25439,0.04697036181063461
education,21077,0.03891640064007019
salt_pond,20748,0.03830893772738892
lateral_water_hazard,17623,0.0325389632528328
marina,16203,0.0299170868515945
resort,15290,0.028231331109108183
clinic,12652,0.02336054945666689
hike,10644,0.019652994658296112
animal_keeping,10080,0.01861162966512822
natural_monument,10069,0.018591319354977785
protected_landscape_seascape,9806,0.01810571830319914
water_park,9250,0.017079124444686115
driving_range,9071,0.016748620306783542
national_park,8289,0.01530474189427062
beach_resort,7914,0.014612344957323883
wilderness_area,7594,0.014021499571129336
environmental,7415,0.013690995433226761
theme_park,7070,0.013053990251235768
schoolyard,6863,0.01267178714204117
skitour,6823,0.012597931468766851
zoo,6015,0.01110604686862562
aboriginal_land,5505,0.010164387034378062
strict_nature_reserve,4725,0.008724201405528854
sled,4484,0.008279220974051087
barracks,4335,0.008004108591104252
range,4273,0.007889632297529058
base,4016,0.007415109596741562
traffic_island,3891,0.007184310617759316
winter_sports,3504,0.006469756978830286
driving_school,3285,0.006065397167653394
connection,3052,0.005635187870830489
doctors,3012,0.005561332197556171
training_area,2768,0.005110812590582829
institutional,2488,0.004593822877662601
airfield,1927,0.003557997059990286
danger_area,1615,0.002981922808450603
snow_park,1490,0.002751123829468358
protected,1478,0.0027289671274860626
ski_jump,1196,0.0022082846309021183
forest,1116,0.0020605732843534817
state_park,1074,0.0019830248274154477
fatbike,979,0.0018076176033889415
obstacle_course,878,0.0016211320283712875
peat_cutting,638,0.0011779979887253775
sleigh,628,0.001159534070406798
music_school,561,0.0010358258176723146
ice_skate,452,0.0008345691079997973
trench,451,0.0008327227161679393
nuclear_explosion_site,445,0.0008216443651767914
military_school,398,0.0007348639490794676
naval_base,305,0.0005631495087166774
military_hospital,187,0.00034527527255743824
