value,n,pct
agriculture,18215800,33.6335043307582
residential,10505114,19.396556682336687
managed,6750567,12.464191769209885
horticulture,4895706,9.039391569578
recreation,3777061,6.973934578829252
developed,2533032,4.676969594634828
golf,2138505,3.9485181643874037
park,1346839,2.486792528427741
education,1023888,1.8904984399373814
cemetery,688970,1.2721085803951777
pedestrian,412440,0.7615258471314964
construction,347806,0.6421861574711891
winter_sports,321388,0.5934081780571656
resource_extraction,317822,0.5868239447847601
protected,177304,0.3273726573557435
religious,149251,0.2755758272966322
transportation,127625,0.23564575754087194
aquaculture,99093,0.18296450579430068
medical,98626,0.182102240808823
military,98582,0.18202099956822126
landfill,56879,0.10502092100424883
campground,55052,0.10164756312744433
entertainment,22335,0.0412391615645475
