value,n,pct
,2402315214,94.48271352263461
house,64790454,2.5481992823458994
residential,15899993,0.6253444489199723
detached,9741811,0.3831440322821227
garage,8006431,0.3148917852675019
apartments,7625096,0.2998939342980771
shed,4406498,0.17330693563682453
industrial,3536335,0.13908354939347525
hut,2417312,0.09507253496952082
roof,2385450,0.09381940706993695
farm_auxiliary,2336035,0.09187592219271844
commercial,2022434,0.07954203974850903
semidetached_house,1902508,0.07482536733354782
terrace,1473162,0.0579392506059496
school,1322541,0.0520153482343715
retail,1241722,0.048836748532015445
outbuilding,1063551,0.041829308603675834
garages,1039262,0.040874025710166566
greenhouse,801131,0.03150836756391694
barn,798254,0.03139521556570268
cabin,652310,0.025655258934704387
service,534117,0.02100674516169843
static_caravan,532399,0.020939176467596205
warehouse,461179,0.018138104061332854
bungalow,424614,0.01670000784489057
church,421360,0.016572028490636416
farm,398925,0.01568966315176365
allotment_house,337092,0.013257780111936611
carport,319042,0.012547876195437686
office,294826,0.011595464381479901
transportation,260972,0.010263991407011503
civic,209871,0.008254196391110582
public,191251,0.007521874456195902
university,171257,0.0067355132979421885
hospital,167764,0.0065981341078961645
hotel,159311,0.006265678827776196
kindergarten,125334,0.004929368280912816
boathouse,117541,0.004622870706326882
chapel,108985,0.00428636445094933
ger,103313,0.0040632855027841275
storage_tank,102779,0.004042283359215683
manufacture,99660,0.0039196135356389435
mosque,99323,0.003906359373873839
hangar,93913,0.00369358484820851
parking,80987,0.0031852071183101657
dormitory,71553,0.0028141692486009767
silo,63654,0.0025035027091868485
train_station,59121,0.002325220467996287
college,53947,0.002121727788552218
stable,53048,0.0020863702472263164
transformer_tower,50382,0.001981516848811572
government,45550,0.0017914749804169563
bunker,42724,0.0016803288049030524
library,41077,0.0016155525306385799
slurry_tank,40071,0.0015759866946276147
post_office,39761,0.0015637944389979934
cowshed,32970,0.0012967053809955446
fire_station,32127,0.0012635503116543482
temple,30390,0.0011952343502715983
toilets,28540,0.0011224741150625672
sty,28367,0.001115670049824101
grandstand,26853,0.0010561246465233046
agricultural,23590,0.0009277913235573215
religious,22669,0.0008915685253802851
kiosk,20911,0.0008224266370032705
sports_centre,18849,0.0007413284721378531
houseboat,17452,0.0006863846620908171
pavilion,16872,0.0006635733451063642
supermarket,15582,0.000612837829744391
stilt_house,15572,0.0006124445311756937
sports_hall,14392,0.0005660353000693926
trullo,13531,0.0005321722933045408
stadium,11632,0.00045748489510889214
digester,11498,0.0004522146942883461
guardhouse,8665,0.00034079320977635404
beach_hut,7485,0.0002943839786700531
military,6353,0.00024986258069349996
shrine,6173,0.00024278320645694558
dwelling_house,4894,0.0001924803195205397
presbytery,4824,0.00018972722953965746
factory,4558,0.00017926548761230488
monastery,4047,0.00015916793075186438
semi,3702,0.00014559913013180182
cathedral,3369,0.0001325022877941762
wayside_shrine,3073,0.00012086065016073122
synagogue,1783,7.012513479875814e-05
glasshouse,1494,5.875880616340138e-05
bridge_structure,1184,4.656655053377994e-05
