value,n,pct
,2540747463,99.92723406196173
roof_tiles,974148,0.03831310140994988
metal,343126,0.013495096468288663
concrete,141907,0.005581181998815126
eternit,132764,0.005221589117455034
tar_paper,127352,0.005008735932075965
slate,51823,0.0020381911725608766
glass,26374,0.001037285645082696
thatch,21426,0.00084268151329119
grass,10943,0.00043038662372563673
plastic,9546,0.00037544281367860076
gravel,6454,0.00025383489623734436
wood,2897,0.00011393859535165582
copper,1109,4.3616811268548945e-05
solar_panels,276,1.0855040496050054e-05
