value,n,pct
,2534247900,99.67160717945582
gabled,5053259,0.19874395319575872
flat,1615756,0.06354745221643424
hipped,945274,0.03717749112269282
pyramidal,255421,0.010045671371527539
skillion,167600,0.0065916840113695255
half_hipped,120832,0.0047523052652852175
saltbox,71233,0.002801583694402657
gambrel,39988,0.001572722316507426
round,39871,0.0015681207232536656
mansard,27090,0.0010654458226014346
dome,6910,0.0002717693109699488
onion,5695,0.00022398353487320673
sawtooth,778,3.0598628644662836e-05
spherical,1,3.932985686974657e-08
