value,n,pct
,2400422156,94.40825982244849
residential,114756469,4.51335550064751
outbuilding,8522265,0.3351794626560508
commercial,4752431,0.1869124310133466
agricultural,4537474,0.17845820297019643
industrial,3640749,0.14319013706867295
education,1766498,0.06947611350069358
religious,1129861,0.044437271412708736
civic,1107324,0.04355089442843525
service,901250,0.035446033503859095
transportation,486285,0.01912551944790471
medical,311283,0.01224271583598532
entertainment,214486,0.008435703680564462
military,49077,0.0019301913855965525
