value,n,pct
CN,521730,11.34877565563308
IN,356459,7.753767698678075
FR,322611,7.0174992103951155
JP,220058,4.786745775070064
US,205140,4.462246445472888
RU,183549,3.9925946808038573
BR,147365,3.205513051755446
ID,128205,2.7887408869155292
PL,121670,2.646590255536153
DE,116053,2.524408144371966
ES,109951,2.391676215882761
IT,95649,2.080576241898393
TR,83553,1.8174616225923577
MX,74665,1.6241280630361374
YE,67578,1.4699702168868425
UG,63773,1.387203093336953
GB,61019,1.3272975326913823
PH,60338,1.312484284035016
IR,59218,1.288121819284457
MM,58076,1.2632808061191552
PE,56617,1.231544345341418
IE,54951,1.195305179024962
SE,48924,1.0642046655860173
UA,39854,0.8669122055078313
PK,30830,0.6706203466604717
CZ,30432,0.6619629707937552
AR,29571,0.6432343260167631
CO,28340,0.6164573669918185
PT,28232,0.6141081293194433
AT,28176,0.6128900060819154
NO,27883,0.6065166112855638
TH,26521,0.5768901139728306
BY,25844,0.5621638741191447
NP,25046,0.5448056179843715
CL,24986,0.543500485944163
NG,24609,0.5352999062915196
TW,24515,0.5332551994285262
VN,23846,0.5187029771802013
KR,23553,0.5123295823838497
HR,22841,0.4968420155067088
CA,22603,0.49166499174721506
AU,22258,0.4841604825160162
BO,21751,0.4731321167762543
LT,21509,0.4678680842140799
MG,21453,0.46664996097655204
TD,21306,0.4634523874780412
NE,20285,0.4412433905938264
EC,19809,0.43088934307483884
RO,19387,0.42170991439203903
VE,18595,0.4044821714612868
CD,18190,0.3956725301898793
FI,17457,0.37972816709866536
ML,17239,0.37498618735257444
CH,17233,0.37485567414855364
IQ,16150,0.35129804082279004
MY,15508,0.337333127992559
GR,15308,0.3329826878585307
BA,14421,0.31368848586411485
SD,13538,0.29448129267237966
BJ,13536,0.2944377882710394
LR,13481,0.29324141723418157
NI,13262,0.2884776852874205
DZ,12843,0.2793635132066311
TZ,12786,0.278123637768433
MA,12645,0.2750565774739431
CM,12361,0.2688789524836228
ZA,12220,0.26581189218913276
NL,11896,0.25876417917200684
KZ,11461,0.24930197188049513
UZ,11440,0.24884517566642217
KE,11392,0.24780107003425536
PG,11360,0.24710499961281082
BF,11340,0.246669955599408
DK,11312,0.246060893980644
EG,10651,0.23168268933768027
GN,10440,0.22709297499628037
SA,10310,0.22426518890916194
SK,10239,0.22272078266158188
CI,9872,0.21473772501563984
GT,9813,0.21345434517610146
SN,9685,0.21067006349032333
