value,n,pct
,5874489,7.781192999459018
restaurant,5557446,7.361246213938186
personal_or_beauty_service,3403139,4.5077080513702485
fashion_and_apparel_store,2731132,3.617585325123344
home_service,2419026,3.2041779594292117
professional_service,1983670,2.6275168984462938
hardware_home_and_garden_store,1906217,2.5249246999781203
food_and_beverage_store,1756803,2.327014861212371
real_estate_service,1738010,2.302122149686512
automotive_service,1570592,2.0803646879594697
financial_service,1461021,1.935229834843952
casual_eatery,1447754,1.917656716990838
hotel,1296512,1.7173255576978033
christian_place_of_worship,1264972,1.6755485065869853
bar,1063187,1.4082694242028257
historic_site,1018883,1.349585515755975
event_or_party_service,987090,1.3074733475262277
social_or_community_service,946865,1.2541923747636199
place_of_learning,825333,1.0932142969069325
cafe,790374,1.046908528682992
bank_or_credit_union,784703,1.039396871839319
electronics_store,782078,1.0359198661587263
manufacturer,780195,1.0334256940838475
gas_station,757066,1.0027896314604454
dental_clinic,752004,0.9960846399346699
corporate_or_business_office,744847,0.9866046667323831
coffee_shop,666147,0.8823607249942295
travel_service,633213,0.8387372182953178
government_office,615995,0.8159307101778143
outpatient_care_facility,613198,0.812225877839293
wellness_service,610228,0.8082918942692509
lodging,603753,0.799715280257122
sport_or_fitness_facility,592555,0.7848827051671112
pharmacy_and_drug_store,578432,0.7661757523187257
gym,572717,0.7586058142369779
convenience_store,548820,0.7269524790944537
auto_dealer,545832,0.7229946531997447
animal_or_pet_service,536109,0.7101158241588289
technical_service,528721,0.70032987445665
park,524079,0.6941812038397693
hospital,519633,0.6882921496470396
flowers_and_gifts_store,516697,0.684403201579146
building_or_construction_service,485207,0.6426923791479585
specialty_school,481203,0.6373887864831609
elementary_school,468969,0.6211839531512096
shipping_or_delivery_service,460447,0.6098959369950147
fast_food_restaurant,455909,0.6038850220317651
atm,423672,0.5611847431269001
specialized_health_care,411915,0.5456117313986223
college_university,403625,0.534631016315912
attorney_or_law_firm,399507,0.5291764222615574
religious_organization,387413,0.5131570292325709
sport_or_recreation_club,379609,0.5028200569158676
media_service,365518,0.48415549042244543
specialty_store,361376,0.4786691066018682
sporting_goods_store,353567,0.4683255114172018
vehicle_parts_store,338287,0.4480860269221702
supplier_or_distributor,336677,0.4459534634380733
vehicle_dealer,332999,0.44108168176446555
printing_service,332012,0.4397743276285626
complementary_and_alternative_medicine,329442,0.43637017349556323
behavioral_or_mental_health_clinic,323733,0.4288081828553711
design_service,299294,0.396436928825654
vehicle_service,295880,0.3919148345804945
rental_service,293797,0.3891557477870945
preschool,291867,0.38659932075336345
b2b_service,288607,0.3822812108414653
storage_facility,283830,0.3759537227895827
farm,278904,0.3694288732724017
personal_care_and_beauty_store,270946,0.35888791662243696
arts_crafts_and_hobby_store,264264,0.35003711587663844
books_music_and_video_store,259664,0.34394407735064725
family_service,256256,0.3394299305470433
physical_medicine_and_rehabilitation,253571,0.3358734504508941
music_venue,229925,0.3045525832801142
second_hand_store,229322,0.30375386540377225
b2b_transportation_and_storage_service,221480,0.29336655929054994
lake,214813,0.2845356271486405
private_lodging,208868,0.27666103714059315
b2b_office_and_professional_service,201370,0.2667293843432275
shopping_mall,199272,0.2639504289459385
senior_living_facility,190141,0.25185574747184597
high_school,189304,0.25074707937483415
animal_and_pet_store,187414,0.2482436352848073
beach,183484,0.24303806106586262
legal_service,181049,0.23981272436786513
b2b_industrial_and_machine_service,178654,0.2366403706135719
laundry_service,177313,0.2348641174258862
ground_transport_facility_or_service,172174,0.22805713373347994
bed_and_breakfast,169080,0.22395890303795457
medical_service,166848,0.22100245477925623
diagnostics_imaging_or_lab_service,158643,0.2101343284519176
civic_organization,155035,0.20535526692979233
museum,154315,0.20440157394311545
library,153507,0.20333131848028918
art_gallery,152767,0.20235113402176014
resort,152368,0.20182262915831004
fitness_studio,142725,0.18904976600480286
discount_store,134472,0.1781180601450191
river,132979,0.17614047177125716
non_alcoholic_beverage_venue,130383,0.17270187872484996
parking,129903,0.17206608340039872
stadium_arena,128804,0.17061037702212384
hindu_place_of_worship,128620,0.1703666554810842
muslim_place_of_worship,127375,0.16871756135828875
warehouse_club_store,127255,0.16855861252717597
vision_or_eye_care_clinic,126891,0.16807646773946708
mountain,125780,0.16660486647808095
train_station,119313,0.1580388490546929
campground,114171,0.15122789164150882
buddhist_place_of_worship,112591,0.1491350653651901
public_transit_facility_or_service,106414,0.140953174283658
community_center,105970,0.14036506360854062
department_store,105473,0.13970675053301504
police_station,103457,0.13703641017031978
dance_club,95235,0.1261457660919068
agricultural_service,89778,0.11891756799705161
reproductive_perinatal_and_womens_care,88986,0.11786850571170703
surgery,88817,0.11764465277455649
tutoring_service,88185,0.116807522264029
campus_building,87808,0.11630815801961625
fire_station,86993,0.11522863054164172
educational_service,83921,0.11115954046515368
winery,81897,0.10847860351371756
swimming_pool,81389,0.10780572012867333
wholesaler,77237,0.10230609057216995
theatre_venue,75336,0.09978807617262446
public_utility,74184,0.09826216739394146
middle_school,73750,0.09768730245475013
toys_and_games_store,71193,0.09430036777845457
sport_field,69728,0.09235986746528564
movie_theater,69321,0.09182076601309469
public_plaza,67861,0.08988688856788878
airport,67575,0.08950806052040325
primary_care_or_general_clinic,66472,0.08804705584775796
taxi_or_ride_share_service,65089,0.08621517056918278
