value,n,pct
,3008015,3.984337235165087
restaurant,1797257,2.380599161327686
beauty_salon,1333278,1.7660248304035842
professional_service,1295132,1.715497646140006
hotel,1263268,1.6732914331851831
shopping,1148700,1.5215376858274097
grocery_store,1017919,1.348308626812702
historic_site,1011943,1.340392975023284
clothing_store,965469,1.2788347418804766
christian_place_of_worship,914312,1.2110735306034914
social_or_community_service,869148,1.1512504888669985
automotive_repair,847705,1.1228476573207313
event_or_party_service,776554,1.0286029216331665
gas_station,748701,0.9917095733582897
real_estate_service,747836,0.990563817200685
cafe,740726,0.9811460989572507
bar,689133,0.912807373593889
school,665959,0.8821117051588193
coffee_shop,648652,0.8591873099915739
real_estate_agent,641776,0.8500795419688097
hair_salon,598640,0.7929427354781236
gym,572607,0.7584601111417912
convenience_store,548229,0.7261696561012231
pharmacy,547560,0.7252835163677691
dental_clinic,544659,0.7214409283756168
bakery,535235,0.7089581468388905
hospital,519412,0.6879994188830735
government_office,517957,0.6860721643058305
park,507667,0.6724423020379069
furniture_store,483385,0.640279006062229
elementary_school,468872,0.6210554695127267
auto_dealer,460771,0.6103250988390192
fast_food_restaurant,451638,0.5982277682177415
pizza_restaurant,443724,0.5877450928058514
education,443455,0.5873887825094402
flowers_and_gifts_shop,440268,0.5831673664698024
atm,423664,0.5611741465381593
beauty_service,408475,0.5410551982400549
travel_service,401369,0.5316427782909912
college_university,400405,0.5303658893477182
bank_credit_union,390168,0.5168062294802026
religious_organization,387347,0.5130696073754589
heatlh_care,378673,0.5015802560331877
barber,377103,0.4995006754927951
lodging,371478,0.4920499490343819
japanese_restaurant,364098,0.48227459592094385
building_supply_store,360188,0.4770955131738513
contractor,352769,0.46726850169030154
mobile_phone_store,346749,0.45929456866280877
insurance_agency,332785,0.4407982230156477
financial_service,325781,0.4315209095730298
construction_service,323643,0.42868897123203653
auto_parts_store,320610,0.42467153952566017
bank,318928,0.42244360674289555
health_care,308182,0.40820973891674306
arts_and_entertainment,300231,0.39767805428192654
preschool,291837,0.3865595835455852
womens_clothing_store,291481,0.3860880353466172
jewelry_store,287175,0.3803844214568524
printing_service,286388,0.37934198203947084
post_office,285633,0.37834192897705277
hardware_store,280285,0.37125810940379167
attorney_or_law_firm,279319,0.3699785713133335
manufacturer,271495,0.3596151075247781
electronics_store,268221,0.3552784535825835
shoe_store,265539,0.3517259472072121
automotive_service,264364,0.3501695732358991
farm,255411,0.3383106658612906
advertising_agency,247451,0.32776706006414064
corporate_or_business_office,247412,0.32771540169402896
outpatient_care_facility,234503,0.310616481187068
spa,234452,0.3105489279338451
italian_restaurant,227796,0.3017325661014543
industrial_equipment_manufacturer,226763,0.3003642815802915
nail_salon,226416,0.29990465454365695
community_and_government,224526,0.29740121045363016
sport_or_recreation_club,224082,0.2968130997785127
lake,214765,0.2844720476161954
mexican_restaurant,210810,0.27923335905743557
physical_therapy,209366,0.27732067478971134
beauty_supply_store,209128,0.27700542627467095
travel_and_transportation,206144,0.2730528986743323
holiday_rental_home,203590,0.2696699377188146
veterinarian,202072,0.2676592350052375
shopping_mall,198933,0.2635013984980448
music_venue,191768,0.2540108287070172
chinese_restaurant,189729,0.251310023151692
eyewear_store,189406,0.25088218588128
high_school,189240,0.2506623066649073
ice_cream_shop,183957,0.24366458437516564
tattoo_and_piercing,183329,0.2428327521590086
beach,183283,0.2427718217737487
freight_and_cargo_service,181937,0.24098894571809992
it_service_and_computer_repair,179989,0.23840867635970195
geographic_entities,177183,0.2346919228588473
sport_or_fitness_facility,173222,0.22944528685853186
pet_store,171771,0.22752333057565943
sports_and_recreation,171025,0.22653519867557476
massage_therapy,169132,0.2240277808647701
bed_and_breakfast,169047,0.22391519210939853
pub,167323,0.22163162723574445
home_service,165545,0.2192765353880896
burger_restaurant,164275,0.217594326925479
liquor_store,156629,0.20746663723640754
seafood_restaurant,154321,0.20440952138467108
library,153441,0.20324389662317713
art_gallery,152719,0.202287554489315
accountant,151843,0.2011272280221915
software_development,151183,0.20025300945107102
retirement_home,150670,0.19957350319806372
behavioral_or_mental_health_clinic,150381,0.19919070142980036
bookstore,147063,0.19479576624953107
naturopathic_medicine,146421,0.19394539000307753
arts_and_crafts_store,145499,0.19272413315069406
butcher_shop,145473,0.1926896942372863
hvac_service,141308,0.18717284522407904
roman_catholic_place_of_worship,140182,0.1856813753588038
engineering_service,139763,0.18512637902350157
sporting_goods_store,136009,0.1801539297568557
vehicle_dealer,134467,0.17811143727705606
discount_store,134465,0.17810878812987085
river,132952,0.17610470828425678
tire_dealer_and_repair,132029,0.17488212685828072
martial_arts_club,130072,0.17228993633754924
parking,129817,0.1719521700714345
resort,129108,0.1710130473942763
dance_studio,128627,0.17037592749623243
hindu_place_of_worship,128603,0.1703441377300099
car_wash,127760,0.16922752219144238
muslim_place_of_worship,127334,0.16866325384099187
warehouse_club_store,127205,0.1684923838475456
auto_detailing,126965,0.16817448618531997
legal_service,126665,0.16777711410753796
electrician,126597,0.16768704310324067
childrens_clothing_store,126077,0.16699826483508515
marketing_agency,126025,0.16692938700826962
property_management,125745,0.1665585064023397
mountain,125733,0.16654261151922845
home_goods_store,125617,0.16638896098248604
home_cleaning,124839,0.16535844272743797
dessert_shop,124737,0.16522333622099206
tour_operator,124213,0.16452925965846613
home_improvement_store,123934,0.16415970362612883
interior_design,123618,0.1637411383708651
home_developer,123096,0.16304971095552434
package_locker,121734,0.16124564172239392
barbecue_restaurant,119262,0.15797129580146996
train_station,119232,0.15793155859369173
information_technology_company,118098,0.15642949213967566
funeral_service,117857,0.15611026990385743
money_transfer_service,117647,0.15583210944941
motorcycle_dealer,117639,0.15582151286066914
metal_fabricator,117379,0.15547712372659137
car_rental_service,117032,0.15501749668995682
campground,114122,0.15116298753547108
nursery_and_gardening_store,113333,0.15011789897090433
buddhist_place_of_worship,112580,0.14912049505567143
fashion_boutique,112547,0.14907678412711542
sushi_restaurant,110809,0.14677467522316484
indian_restaurant,109537,0.145089817613369
employment_agency,109384,0.14488715785370015
general_dentistry,109360,0.1448553680874776
shipping_center,107877,0.14289102544964175
chiropractic,107569,0.14248305678311884
driving_school,107524,0.14242345097145157
community_center,105915,0.14029221206094722
department_store,105392,0.13959946007201388
