value,n,pct
residential,127190332,36.9588409765619
service,60449515,17.565360329394323
unclassified,30009932,8.72025638320872
track,26056895,7.571586798342275
footway,23542848,6.841057505592237
tertiary,20600920,5.98619497471611
path,14026572,4.075827429983404
secondary,11287428,3.2798896734257452
unknown,9395528,2.730143241098189
primary,7357706,2.137994938218224
trunk,4095298,1.1900076456568414
living_street,3417398,0.9930241335923292
steps,1985926,0.5770684144862495
standard_gauge,1463298,0.42520368673399705
cycleway,1397812,0.4061748295706151
motorway,1089687,0.31664017157551577
pedestrian,474442,0.13786288749212466
bridleway,102509,0.029786963915357845
tram,59481,0.017283930197830432
subway,55282,0.016063788927497217
narrow_gauge,31622,0.009188689509520585
,28741,0.008351531376672291
light_rail,16855,0.004897709243026041
monorail,3087,0.0008970174092685487
funicular,1364,0.00039634977202536464
