value,n,pct
US,24318485,22.621311806946032
ID,8585254,7.986094021721775
TR,8092275,7.527519744858868
BR,5510330,5.125767213260569
DE,5034851,4.683471621382419
JP,4921038,4.5776015657155495
GB,4405844,4.098362661027705
FR,3153159,2.933101832448779
RU,3080520,2.865532266814047
MX,2936406,2.731475900648711
IT,2864272,2.6643760913521106
CA,2412269,2.243918122828371
TH,2219676,2.0647660784129744
MY,2031471,1.8896957979811846
ES,1917181,1.7833820318721585
KR,1655580,1.540038016403724
PL,1513451,1.4078281182209451
AU,1496352,1.391922447674981
IN,1491561,1.3874658088314396
BE,1409480,1.3111131949895027
NL,1119005,1.0409102795067886
SE,925700,0.861095925165155
CN,889386,0.8273162585059269
PH,860782,0.8007085153456976
AT,694349,0.6458907794560874
UA,635089,0.5907665010448451
SA,574221,0.5341464440361461
CL,559505,0.5204574652798207
IR,553365,0.514745972376597
CH,548371,0.5101005007872326
FI,533133,0.49592595211307605
CZ,494364,0.45986261850312915
GR,490889,0.45663013677044156
TW,435752,0.4053411165416081
HU,421012,0.39162981273158926
SG,411573,0.38284955515609626
PT,409752,0.3811556417071109
CO,385280,0.3583915286244257
AR,385114,0.35823711366971317
DK,379974,0.3534558313370472
LV,330848,0.30775830684783534
NO,305215,0.2839142192927328
HR,293692,0.27319540288819777
RO,283339,0.2635649328512151
VN,271286,0.2523531048442845
ZA,263528,0.24513653123789883
PY,256346,0.23845575892015428
PE,245535,0.22839925244185622
CR,186046,0.17306195580995618
NZ,178059,0.16563236398291273
KW,172465,0.16042876605121362
AE,169545,0.15771255118518546
BG,165526,0.15397403490211456
VE,147859,0.13754000475207373
IE,141174,0.13132154708789628
HK,134826,0.12541657038599674
BY,133945,0.12459705487333551
EG,130742,0.12161759041583955
IL,109221,0.10159852872686981
RS,105881,0.0984916254212075
SK,102728,0.09555867149223941
CY,101683,0.09458660144600675
PR,100357,0.09335314222944739
MK,99427,0.09248804639882885
EC,96092,0.0893857941460193
DO,84034,0.07816931508623595
EE,75635,0.07035647650412283
LK,74727,0.06951184530605653
KZ,72015,0.06698911423870438
TN,61748,0.057438642310789656
KE,61201,0.05692981712869466
PK,60677,0.056442386789722486
MA,60558,0.05633169173182613
PA,54568,0.050759730414186216
LT,54443,0.05064345409286651
SI,49195,0.045761709018580315
GT,48589,0.04519800141282242
LB,47331,0.04402779651506098
MV,46155,0.04293386888408526
AZ,43259,0.0402399790717505
UY,41769,0.0388539653216197
QA,41632,0.03872652647345331
SV,41342,0.03845676540799162
LU,38505,0.035817758019319745
NG,38076,0.03541869768455055
OM,36678,0.03411826330691104
BN,36644,0.03408663614751208
BO,36577,0.03402431203928473
BH,35777,0.03328014358283866
JO,35768,0.03327177168770364
HN,34716,0.032293190167477066
GE,34314,0.03191924551811291
NI,31439,0.02924489012775986
GH,29465,0.027408654461479196
,27608,0.02568125343195376
KH,27228,0.02532777341514188
BD,26031,0.02421431136218445
UZ,25981,0.024167800833656574
JM,25793,0.023992921246391748
TT,25597,0.023810599974562464
IS,24591,0.022874808140581532
ME,24127,0.02244319043584281
MM,22942,0.02134089090973208
BA,22438,0.020872064782171056
MD,20099,0.018696302257636868
IQ,19313,0.017965156749178608
SD,18703,0.017397728301138483
UG,17833,0.016588445104753383
NP,17374,0.016161478452867452
KG,17097,0.015903810124823003
TZ,17042,0.015852648543442337
AM,16748,0.015579166635698406
LA,16502,0.015350334835341239
XK,16027,0.014908484814326389
MT,15261,0.014195943517279281
AL,14864,0.013826649920767918
MN,14833,0.013797813393080633
BS,12095,0.011250896850893971
MQ,11665,0.010850906305554209
MU,10138,0.00943047476431278
DZ,9889,0.009198852332243943
RE,9324,0.008673283359878907
CM,8348,0.007765397843014707
HT,8248,0.007672376785958947
GP,8072,0.007508659725540812
MZ,7952,0.007397034457073903
BB,7833,0.007286339399177551
AW,7808,0.007263084134913611
GU,7795,0.007250991397496363
AO,7748,0.0072072715006801565
SY,7418,0.006900302012396154
PS,7204,0.00670123695029683
CI,6372,0.005927301755592921
MG,6346,0.005903116280758424
ZM,6337,0.005894744385623406
NA,5620,0.005227783406533619
VI,5400,0.00502313708101095
LY,5216,0.004851978336028355
CD,5019,0.0046687268536285105
BW,4989,0.004640820536511783
CU,4957,0.004611053798253941
BZ,4844,0.004505940003780934
ET,4727,0.004397105367025697
ZW,4687,0.004359896944203393
SN,4530,0.004213853884625853
FJ,4523,0.00420734241063195
AD,4432,0.00412269324871121
BJ,4264,0.003966417872857535
SR,4214,0.003919907344329656
CW,4115,0.0038278164978444557
TM,3875,0.0036045659609106355
