value,n,pct
Business and Professional Services > Office,2552207,2.388081557599046
Dining and Drinking > Restaurant,2003523,1.874681922949633
Community and Government > Residential Building > Apartment or Condo,1972450,1.8456071424795242
Business and Professional Services > Automotive Service > Automotive Repair Shop,1948570,1.823262799878996
Business and Professional Services > Health and Beauty Service > Hair Salon,1762438,1.6491004390363901
Landmarks and Outdoors > Structure,1575228,1.4739294014214481
"Dining and Drinking > Cafe, Coffee, and Tea House > Café",1537606,1.4387267692054913
Business and Professional Services,1442647,1.3498743224297993
Retail > Construction Supplies Store,1395869,1.3061044874981627
Dining and Drinking > Bar,1315973,1.2313463804457434
Travel and Transportation > Lodging > Hotel,1142938,1.069438787402095
Health and Medicine > Physician > Doctor's Office,1036584,0.9699241218687393
Travel and Transportation > Road,990427,0.9267353521278449
Retail > Fashion Retail > Clothing Store,963557,0.9015932882385576
Business and Professional Services > Financial Service > Banking and Finance > Bank,918760,0.8596770606223162
"Dining and Drinking > Cafe, Coffee, and Tea House > Coffee Shop",874305,0.8180808399227156
Community and Government > Spiritual Center > Church,872296,0.8162010332106359
Retail,859613,0.8043336422055064
Business and Professional Services > Financial Service,847802,0.7932821752685368
Travel and Transportation > Fuel Station,835388,0.7816664856101216
Dining and Drinking > Bakery,802787,0.7511619666352555
Health and Medicine > Dentist,788421,0.7377198047508675
Retail > Furniture and Home Store,772963,0.7232558663958023
Business and Professional Services > Factory,748210,0.7000946640343758
Health and Medicine > Medical Center,741171,0.693508322846557
Retail > Convenience Store,739183,0.6916481656819904
Business and Professional Services > Home Improvement Service > General Contractor,731508,0.6844667239123484
Community and Government > Housing Development,722769,0.6762897050687131
Business and Professional Services > Legal Service,692445,0.6479157584599021
Arts and Entertainment,681887,0.6380367145245431
Retail > Miscellaneous Store,681161,0.6373574015962357
Business and Professional Services > Real Estate Service > Real Estate Agency,679942,0.6362167921477414
Dining and Drinking > Restaurant > Pizzeria,675777,0.632319631890991
Community and Government > Education,654041,0.6119814145222694
Dining and Drinking > Restaurant > Fast Food Restaurant,645787,0.6042582066569112
Retail > Food and Beverage Retail > Grocery Store,630758,0.5901956804867549
Business and Professional Services > Health and Beauty Service,576924,0.539823597590741
Retail > Computers and Electronics Retail > Electronics Store,573862,0.5369585064247938
Business and Professional Services > Office > Coworking Space,554560,0.5188977651821058
Community and Government > Education > College and University > College Classroom,502862,0.4705243219759884
Business and Professional Services > Business Service,496391,0.46446945426376
Retail > Pharmacy,484736,0.45356395539403
Landmarks and Outdoors > Other Great Outdoors,479590,0.44874888056059975
Business and Professional Services > Legal Service > Law Office,475956,0.4453485731481074
Landmarks and Outdoors > Farm,473089,0.44266594206620985
Retail > Automotive Retail > Car Dealership,461901,0.43219741170546006
Landmarks and Outdoors > Park,459628,0.4300705821103595
Health and Medicine > Hospital,452372,0.42328119559823935
Business and Professional Services > Advertising Agency,450155,0.4212067647965069
Community and Government > Government Building,449322,0.4204273327451569
Retail > Hardware Store,433328,0.40546186308214005
Dining and Drinking > Restaurant > Asian Restaurant > Chinese Restaurant,431164,0.4034370239955596
Travel and Transportation,415022,0.3883330718072129
Dining and Drinking > Restaurant > Asian Restaurant,413468,0.38687900529124886
Sports and Recreation > Gym and Studio,401514,0.37569373429264297
Business and Professional Services > Insurance Agency,400442,0.37469067167673986
Business and Professional Services > Health and Beauty Service > Spa,398576,0.37294466902629664
Business and Professional Services > Health and Beauty Service > Nail Salon,385463,0.36067493014351937
Dining and Drinking > Restaurant > Italian Restaurant,380945,0.3564474703500024
Event > Other Event,375487,0.35134045938209285
Business and Professional Services > Event Space,368895,0.3451723728484798
Retail > Food and Beverage Retail,368226,0.3445463944062791
Retail > Cosmetics Store,363970,0.34056408611030564
Retail > Fashion Retail > Shoe Store,362214,0.3389210096611211
Dining and Drinking > Restaurant > BBQ Joint,361358,0.3381200566767806
Business and Professional Services > Home Improvement Service > Home Service,354184,0.33140739696923505
Retail > Computers and Electronics Retail > Mobile Phone Store,349924,0.32742134590230676
Dining and Drinking > Restaurant > Asian Restaurant > Japanese Restaurant,349005,0.32656144427542716
Landmarks and Outdoors > States and Municipalities > Neighborhood,348322,0.3259223661348844
Retail > Fashion Retail > Jewelry Store,343356,0.3212757159944229
Travel and Transportation > Transport Hub > Bus Stop,330213,0.30897790632948413
Dining and Drinking > Restaurant > Burger Joint,328819,0.30767355065171464
Retail > Fashion Retail > Women's Store,326460,0.30546625148108464
Arts and Entertainment > Art Gallery,325535,0.30460073569777274
Arts and Entertainment > Night Club,324945,0.30404867698193055
Dining and Drinking > Food Truck,322698,0.30194617539803664
Dining and Drinking > Dessert Shop > Ice Cream Parlor,309192,0.2893087092689442
Sports and Recreation,308908,0.28904297253114897
Community and Government > Education > Primary and Secondary School > Elementary School,308569,0.28872577269272437
Business and Professional Services > Office > Tech Startup,308293,0.2884675214968389
Dining and Drinking > Restaurant > Diner,307257,0.28749814381952954
Sports and Recreation > Gym and Studio > Gym,303203,0.28370484545677666
Travel and Transportation > Parking,301833,0.2824229464047363
Dining and Drinking > Restaurant > American Restaurant,299411,0.2801566985915672
Retail > Print Store,299325,0.2800762290160377
Travel and Transportation > Lodging > Bed and Breakfast,293464,0.2745921338744257
