Sample member: us/wy/sublette.csv

LON,LAT,NUMBER,STREET,UNIT,CITY,DISTRICT,REGION,POSTCODE,ID,HASH
-109.9433588,42.9239884,438,EHMAN LANE 23-144,,,,,,AP0117,2b62f88f8ca015ba
-110.3360052,43.1525892,13745,U S HWY 189 & 191,,,,,,AP0252,df8106eb56118833
-109.780754,42.798229,11,GOLD CIR CIR,,,,,,M0003360,af1f86cf9f0403e0
-110.114473,42.556062,311,BUDD AVE AVE,,,,,,M0001480,7b539037452a0124
-110.3566756,42.9461447,1581,DANIEL MERNA 23-112,,,,,,AP0193,ffa888ae4551358d
-110.1039092,42.5543055,18,PIONEER Cir,,,,,,AP0290,dfef9f4bc9645f6c
-110.1020843,42.5542825,41,PIONEER Cir,,,,,,AP0306,e346b9f3b9846dc0
-110.0166547,42.9186734,245,ST HWY 352,,,,,,AP0358,efa53e211727a689
-109.7969411,42.7882939,113,TAIL FEATHER RD,,,,,,AP0544,a04845229e438329
-110.0093756,42.9453574,157,KITCHEN RANCH RD,,,,,,AP0222,e18469a916575887
-110.1070221,42.9480173,80,PAPE 23-150,,,,,,AP0186,0f6578bc4e82f810
-109.874019,42.864055,205B,COLTER LOOP,,,,,,AP0368,5cc62324a44c0e01
-109.8600552,42.8613634,504,S FREEMONT AVE,,,,,,AP0566,e76ea3bb3bfe02b0
-110.0115947,42.9378604,206,KITCHEN RANCH RD,,,,,,AP0115,7a72a4b72c9975d5
-109.861625,42.872947,646,TYLER AVE,,,,,,AP0164,5fb16cc38032d535
-109.751978,42.7773682,21,SANDY LN,,,,,,AP0236,d8c869dc95f9a38d
-110.0160599,43.1432704,1920,ST HWY 352,,,,,,371026400097BD,1e96d6ae29107bb8
-110.040484,42.59021,26,CHIZZLER RD,,,,,,301111301004TH,1bd30850386ff8ba
-109.812882,42.80176,35,AIRPORT DR DR,,,,,,M0010129,6214627d8b346a3b
-109.859364,42.866896,115,PINE ST,,,,,,340934328005TH,01d5f4bc45519821
-110.102966,42.558372,506,SIXTH ST,,,,,,000070014745TH,a049d5acd28a19e1
-109.825345,42.899112,99,FS 111,,,,,,34092349821200,ea476e7d64ba1143
-109.75592,42.800449,35,BOB-O-LINK LN,,,,,,330828302005TH,8ba9c807c6ab80c1
-110.105949,42.556156,315,RAKESTRAW AVE,,,,,,301130146005TH,58b66b7b8ec2eb4d
-110.099833,42.5574645,705,FIFTH ST,,,,,,301129211003TH,1999ddd2fd2f0f7d
-109.970936,42.854063,99,HARRY STEELE 23-140,,,,,,331003300004TH,7b4040d7b446b214
-110.0078796,42.9456554,143,KITCHEN RAN
