layer_name,other_tag_key,count,pct_of_layer
points,RAÄ:id,1,0.0
points,abandoned,6,0.0
points,abandoned:aeroway,1,0.0
points,abandoned:amenity,3,0.0
points,abandoned:building,1,0.0
points,abandoned:highway,1,0.0
points,abandoned:place,1,0.0
points,abandoned:shop,2,0.0
points,access,3278,1.46
points,access:conditional,2,0.0
points,access:delivery,2,0.0
points,accessibility,1,0.0
points,addr:city,54312,24.15
points,addr:country,68111,30.28
points,addr:district,36,0.02
points,addr:door,3,0.0
points,addr:entrance,19,0.01
points,addr:flats,32,0.01
points,addr:floor,116,0.05
points,addr:housename,105,0.05
points,addr:housenumber,74541,33.14
points,addr:inclusion,14,0.01
points,addr:interpolation,22,0.01
points,addr:level,1,0.0
points,addr:place,254,0.11
points,addr:postcode,35024,15.57
points,addr:source,24,0.01
points,addr:street,74415,33.09
points,addr:unit,326,0.14
points,admin_level,1,0.0
points,advertising,144,0.06
points,aerialway,15,0.01
points,aerodrome,2,0.0
points,aerodrome:type,1,0.0
points,aerospace:product,1,0.0
points,aeroway,32,0.01
points,age,1,0.0
points,air_conditioning,79,0.04
points,airmark,11,0.0
points,al_frecso,1,0.0
points,al_fresco,69,0.03
points,alcohol,10,0.0
points,alt_name,175,0.08
points,alt_name:de,2,0.0
points,alt_name:en,6,0.0
points,alt_name:es,1,0.0
points,alt_name:fit,1,0.0
points,alt_name:fr,1,0.0
points,alt_name:gl,1,0.0
points,alt_name:he,1,0.0
points,alt_name:mi,1,0.0
points,alt_name:nl,1,0.0
points,alt_name:sv,6,0.0
points,alt_name_1,1,0.0
points,alt_name_2,1,0.0
points,alt_name_3,1,0.0
points,alt_shop,1,0.0
points,amenity,28188,12.53
points,amenity:restaurant,1,0.0
points,amenity_1,1,0.0
points,amount,4,0.0
points,amperage,4,0.0
points,animal,13,0.01
points,animal_boarding,5,0.0
points,animal_boarding:type,1,0.0
points,animal_training,1,0.0
points,anime:gift,1,0.0
points,anime:manga,1,0.0
points,anime:video,1,0.0
points,antenna:mount,1,0.0
points,app:apk,30,0.01
points,app:apple,78,0.03
points,app:google,48,0.02
points,appliance,1,0.0
points,archaeological_site,104,0.05
points,architect,4,0.0
points,armrest,575,0.26
points,art,7,0.0
points,artist,19,0.01
points,artist:wikidata,38,0.02
points,artist:wikipedia,10,0.0
points,artist_name,434,0.19
points,artist_name:en,1,0.0
points,artist_name:hu,2,0.0
points,artwork_subject,18,0.01
points,artwork_type,663,0.29
points,association,2,0.0
points,atm,47,0.02
points,attraction,36,0.02
points,authentication,2,0.0
points,authentication:contactless,1,0.0
points,authentication:nfc,4,0.0
points,authentication:none,4,0.0
points,authentication:phone_call,3,0.0
points,authentication:short_message,3,0.0
points,automated,31,0.01
points,automatic_door,24,0.01
points,baby,24,0.01
points,baby_feeding,1,0.0
points,backcountry,5,0.0
points,backrest,6219,2.77
points,badstege,1,0.0
points,bakehouse,1,0.0
points,bar,44,0.02
points,barbeque,1,0.0
points,barrier:rfid,4,0.0
points,bath:open_air,12,0.01
points,bath:sand_bath,12,0.01
points,bath:type,6,0.0
points,battery:repair,1,0.0
points,bay,2,0.0
points,bbq,1,0.0
points,beacon:code,7,0.0
points,beacon:frequency,9,0.0
points,beacon:type,11,0.0
points,beauty,101,0.04
points,bell_tower,3,0.0
points,bench,4846,2.15
points,bench:backrest,5,0.0
points,bench:type,5,0.0
points,bench_count,1,0.0
points,bicycle,2645,1.18
points,bicycle_bypass,3,0.0
points,bicycle_parking,2037,0.91
points,bicycle_rental,1,0.0
points,billiards:pool,1,0.0
points,bin,3429,1.52
points,blind,6,0.0
points,blind:description:de,1,0.0
points,blind:description:en,1,0.0
points,board:title,43,0.02
points,board_type,661,0.29
points,boat,47,0.02
points,boat:clothes,1,0.0
points,boat:parts,1,0.0
points,boat:type,1,0.0
points,bollard,108,0.05
points,booking:sms,1,0.0
points,books,24,0.01
points,bottle,18,0.01
points,boules,1,0.0
points,boundary,1,0.0
points,branch,366,0.16
points,brand,3089,1.37
points,brand:en,1,0.0
points,brand:phone,1,0.0
points,brand:short,1,0.0
points,brand:website,5,0.0
points,brand:wikidata,2800,1.24
points,brand:wikipedia,1229,0.55
points,brand:zh,1,0.0
points,breakfast,1,0.0
points,brewery,11,0.0
points,bridge:support,1,0.0
points,bridleway,1,0.0
points,building,250,0.11
points,building:architecture,1,0.0
points,building:colour,4,0.0
points,building:levels,64,0.03
points,building:material,5,0.0
points,building:part,1,0.0
points,building:use,4,0.0
points,bulk_purchase,54,0.02
points,bunker_type,19,0.01
points,buoy,2,0.0
points,buoy:colour,2,0.0
points,buried,1,0.0
points,buried:wikidata,134,0.06
points,buried:wikimedia_commons,1,0.0
points,buried:wikipedia,134,0.06
points,bus,46,0.02
points,button_operated,1532,0.68
points,cafe,1,0.0
points,cairn,1,0.0
points,callsign,1,0.0
points,camera:angle,1,0.0
points,camera:direction,33,0.01
points,camera:mount,78,0.03
points,camera:type,81,0.04
points,camp_site,1,0.0
points,canoe,1,0.0
points,canoe:service,1,0.0
points,canoe_rental,7,0.0
points,capacity,2387,1.06
points,capacity:baby,1,0.0
points,capacity:car,1,0.0
points,capacity:cargo_bike,1,0.0
points,capacity:disabled,34,0.02
points,capacity:hgv,1,0.0
points,capacity:motorcar,2,0.0
points,capacity:person,1,0.0
points,capacity:persons,6,0.0
points,capacity:women,1,0.0
points,capital,2,0.0
points,car_rental,4,0.0
points,car_wash,1,0.0
points,caravans,1,0.0
points,cargo,11,0.0
points,cargo_bike,16,0.01
points,cash_in,53,0.02
points,cash_out,1,0.0
points,cat,1,0.0
points,category,2,0.0
points,cemetery,134,0.06
points,ceremonial_gate,1,0.0
points,changing_table,116,0.05
points,changing_table:count,1,0.0
points,changing_table:fee,3,0.0
points,changing_table:location,5,0.0
points,charge,29,0.01
points,charge:conditional,1,0.0
points,charging_station:capacity,1,0.0
points,charity,1,0.0
points,check_date,11465,5.1
points,check_date:bench,3,0.0
points,check_date:bin,11,0.0
points,check_date:capacity,131,0.06
points,check_date:collection_times,127,0.06
points,check_date:crossing,77,0.03
points,check_date:crossing:barrier,2,0.0
points,check_date:currency:XBT,6,0.0
points,check_date:diet:gluten_free,2,0.0
points,check_date:diet:vegan,26,0.01
points,check_date:diet:vegetarian,31,0.01
points,check_date:internet_access,2,0.0
points,check_date:lit,17,0.01
points,check_date:opening_hours,3149,1.4
points,check_date:opening_hours:url,2,0.0
points,check_date:recycling,11,0.0
points,check_date:service:bicycle:pump,2,0.0
points,check_date:shelter,901,0.4
points,check_date:smoking,15,0.01
points,check_date:tactile_paving,94,0.04
points,check_date:traffic_signals:sound,21,0.01
